1549516276.194656,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516276.493548,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516276.682502,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516276.899564,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.089389,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.279332,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.496791,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.686599,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.985121,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.201142,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.390090,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.581430,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.797080,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.987010,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516279.202939,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516279.499887,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516279.688789,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516279.905782,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516280.096721,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516280.285676,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516280.501945,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516280.691519,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.096881,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.393443,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.583417,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.799312,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.989288,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516282.395187,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516282.585106,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516282.991064,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516283.207017,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516283.396949,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516283.586886,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516283.802814,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516283.991795,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516284.290844,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516284.589631,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516284.888536,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516285.104802,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516285.294831,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516286.213357,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516286.403105,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516286.592134,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516286.917144,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516287.106029,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516287.295995,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516287.512841,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516287.703110,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516287.918710,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516288.107716,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516288.406613,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516288.596604,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516288.812787,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516289.002538,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516289.219615,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516289.598219,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516290.111203,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516290.518064,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516290.708985,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516291.113850,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516291.413209,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516291.601725,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516291.818981,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516292.009130,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516292.225712,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516292.414620,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516292.604509,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516292.821741,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516293.011467,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516293.228332,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516293.417647,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516294.228419,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516294.417383,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516294.607007,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
